CODIGO,ALTERNO,NOMBRE,INVENTARIO
4016779597616,2CDS283001R0634,S203P-C63,36
4016779599573,2CDS271001R0337,S201M-K4,20
4016779599597,2CDS271001R0377,S201M-K6,19
4016779600187,2CDS271103R0467,S201M-K16NA,20
4016779600712,2CDS272001R0467,S202M-K16,20
4016779600736,2CDS272001R0487,S202M-K20,10
4016779605793,2CDS272001R0504,S202M-C50,22
4016779605984,2CDS273001R0204,S203M-C20,2
4016779606028,2CDS273001R0324,S203M-C32,9
4016779606042,2CDS273001R0404,S203M-C40,4
4016779606080,2CDS273001R0634,S203M-C63,6
4016779608985,2CDS253001R0014,"S203-C1, 480VCA, 6kA",30
4016779609043,2CDS253001R0044,"S203-C4, 480VCA, 6kA",1
4016779609388,2CDS253001R0337,"S203-K4, 480VCA, 6kA",12
4016779609432,2CDS253001R0404,"S203-C40, 480VCA, 6kA",8
4016779609524,2CDS253001R0487,"S203-K20, 480VCA, 6kA",5
4016779609685,2CDS253001R0634,"S203-C63, 480VCA, 6kA",8
4016779610735,2CDS254001R0164,"S204-C16, 480VCA, 6kA",17
4016779616256,S203UPK15,S200UP 10KA 3P,144
4016779619318,S201UK5,S200U 10KA 1P,20
4016779619387,S201UK20,MCB. S200U. 10KA. 1P CAT.  S201UK20 ABB,131
4016779619882,S203UK30,S200U 10KA 3P,3
4016779631945,2CDS231001R0104,"SH201T-C10, 440VCA, 3kA",10
4016779632041,2CDS231001R0324,"SH201T-C32, 440VCA, 3kA",7
4016779645119,2CDS251001R0357,"S201-K5, 480VCA, 6kA",136
4016779645133,2CDS251001R0457,S201-K15,5
4016779645164,2CDS252001R0457,S202-K15,8
4016779645317,2CDS253001R0357,S203-K5,2
4016779662376,1SVR427056R0000,CP-T 24/20 Fuente de poder Trifasica 350-500Vca/24Vcd20A480W,4
4016779764988,1SAZ721201R1052,TF42-29 Thermal Overload Relay,1
4016779825191,2CDS272517R0337,S202UDC-K4,5
4016779878678,1SAP120600R0001,PLC PM554-TP 128 8 / 6 /  /  Transistor - 24 VDC,2
4016779916424,2CDS254001R0804,S204-C80,1
4016779916684,2CDS252001R0824,S202-C100,4
4016779917704,2CDS253001R0804,S203-C80,3
4016779917728,2CDS253001R0824,S203-C100,7
4016779917889,2CDS254001R0824,S204-C100,3
